Country_name,Country_code,Avg_mig,Health_exp,Consum_exp,National_incP.C,National_inc,Prim_enrol_rate,Current_accbal,Employers_total,Employment_serv,Employment_indus,Employment_agri,Expense,GDP_growth,Hightech_exports,HIV_incidence,Labor_particip_rate,Life_expect_birth,Pop_total,Pop_density,Pop_slums,Tax_revenue,Tech_grants,Lit_rate15_24,S&P_equityindex,Reg_business,migration
Argentina,ARG,-50312.125,8.311,81.2528,4.3882,5.592575,98.629075,0.77455,4.554175,73.617075,24.9525,0.597925,0,3.82875,858244941.6,0.03,66.6471,73.986625,37828410.06,13.822675,27.3625,6.804125,66271875,0.753225,16.53146667,10.02885,2
Australia,AUS,708995.6875,7.377675,76.132125,1.755725,3.11885,95.7121,-4.794625,0,67.6855,22.13045,14.206775,25.178875,3.03125,2701232782,0.01,74.782075,79.821225,19779550.13,2.5747,0,22.9374,0,0,8.134733333,2.25,4
Brazil,BRA,995.25,8.001525,77.4876,1.779575,3.146625,72.0612,-0.9783,4.089175,58.455,21.130825,23.187475,26.67775,3.058825,5492487547,0.04085,72.93415,70.347625,179885740,21.52225,30.5625,13.860925,204756250,0.764475,18.02326667,11.6186,3
China,CHN,-1708274.875,6.684325,68.522625,0,0,46.6824,3.65785,0,31.005375,28.521575,6.8,0,10.321675,1.66E+11,0,80.412075,72.471075,1268504286,135.116575,35.204175,6.99635,697309041.7,0.983075,14.6205,9.875,1
France,FRA,489693.4375,6.030975,65.893825,0.743875,1.32105,99.238825,0.226875,4.509575,70.569575,25.376675,23.5964,45.092725,1.5295,63275198252,0,68.8346,79.479175,62056886.27,113.318875,0,21.31965,0,0,3.5765,4.0577,4
Germany,DEU,943074.1875,10.251525,76.64495,1.359525,1.488525,74.80855,2.54095,4.928325,64.78,33.180825,16.6573,30.7279,1.5312,1.10E+11,0,73.1379,78.15565,81820044.08,234.44195,0,11.118975,0,0,7.854466667,6.75,4
India,IND,-1950363.438,8.884875,74.695175,4.830625,6.60685,87.887925,-1.07265,1.325,24.755,18.67,34.02945,15.342425,6.67,4349855302,0.03335,61.474575,63.15455,1085985984,365.2595,39.2,9.661325,340572458.3,0.7983,17.0067,10.253225,1
Indonesia,IDN,-775860.875,3.71675,68.548475,4.023175,5.514475,94.5979,0.616675,2.437275,37.579175,17.941675,27.38355,14.496375,5.7482,4215401391,0.02085,69.06835,66.39235,217173288.6,119.88125,32.416675,13.221075,463520833.3,0.991775,17.6678,9.253225,1
Italy,ITA,907286.4375,3.70535,73.81315,0.2084,0.4932,98.781925,-0.95885,8.93125,63.513775,31.589175,23.268425,41.510675,0.845,21335030798,0.01585,61.0521,79.98115,57745220.14,196.3252,0,22.7736,0,0.5001,0.8357,6.09295,4
Japan,JPN,469323.125,8.06995,74.945125,0.64575,0.794575,99.974275,2.29975,0,64.01525,30.68475,9.615425,15.6219,1.2627,1.07E+11,0,72.519175,81.31405,126770662.6,347.76285,0,10.41675,0,0,2.5031,7.048075,4
"Korea, Rep.",KOR,40211.625,7.150325,70.2104,4.0879,4.775525,99.3518,1.18095,0,61.2318,29.066675,11.642575,16.904975,5.544875,63802232461,0,64.6675,76.752625,47141164.61,487.060675,0,13.822875,83896666.67,0,12.47103333,6.621775,3
Mexico,MEX,-1489605.875,5.344825,72.889275,0.534375,2.142525,96.797375,-2.15045,0,56.55615,24.5186,14.145875,9.6409,2.391825,25071574533,0.03665,62.375825,74.3185,105217920.2,54.12585,17.5275,7.310425,128551916.7,0.996225,12.19266667,6.253225,1
Netherlands,NLD,134085.0625,6.236625,75.0568,1.329,1.83545,98.66765,4.959175,3.681675,71.7175,20.338325,22.557225,41.0736,1.9696,45272491048,0,74.61,78.776375,16019943.21,474.623425,0,21.745575,0,0,5.665833333,4.71475,3
Russia,RUS,2060521.063,8.12545,68.9959,0.62435,0.436,71.2023,6.376,0.99935,57.032075,31.43165,15.18605,22.097925,1.453775,3435610341,0,71.937925,66.60715,145318031.1,8.8711,0,10.9155,0,0.7507,20.10073333,6.423075,4
Saudi Arabia,SAU,600636.6875,5.158025,66.7239,1.462925,2.1104,44.909075,8.375675,1.55,72.34185,22.342425,2.2642,0,4.67225,83535904.54,0,52.84875,72.366575,22984675.69,10.6921,13.5,0,16206634.62,0.7028,15.0771,11.679475,4
Spain,ESP,1686011.688,4.660625,65.93545,1.11935,2.1222,99.755675,-4.42715,5.1254,64.125,29.46585,14.787025,22.032825,2.319825,8197684646,0.02835,67.29,79.59835,42431643.6,85.162825,0,14.977475,0,0.999975,4.802533333,7.423075,4
Switzerland,CHE,255755.875,8.488225,71.88785,1.177775,2.03185,94.949125,9.21595,6.593325,70.12375,24.613325,12.08315,19.371825,1.708625,24883981495,0,81.084175,80.290075,7336362.899,185.627875,0,9.054225,0,0,6.1406,4.5,3
