ID,cf_td,ca_cl,re_ta,ni_ta,td_ta,s_ta,wc_ta,wc_s,c_cl,cl_e,in_s,mve_td,bstatus
1,-0.272767397,1.377092361,-0.022255639,-0.115007519,0.408842105,1.309894737,0.266947368,0.203792993,0.009091682,2.483959477,0.355742297,0.595133883,1
2,-0.136487671,0.106107331,-0.556598852,-0.219809598,1.091245001,0.818140323,-1.159254912,-1.416938976,0.031919351,-4.138729928,0.00395845,0.0424028,1
3,-0.282271683,1.071777056,-0.562101987,-0.282679861,0.268303237,1.401745765,0.040862144,0.029150895,0.117942473,3.702330789,0.182852091,0.111444289,1
4,-0.303333333,0.214162349,-12.22813688,0.106463878,1.140684411,2.239543726,-1.730038023,-0.772495756,0.041450777,-0.941463415,0.033955857,1.798,1
5,-0.53968254,0.827048114,-3.563086548,-0.198123045,0.197080292,1.443169969,-0.138686131,-0.096098266,0.010403121,4.470930233,0.255780347,6.621544973,1
6,-0.181247964,1.222202022,-0.46392189,-0.335620256,0.649721101,0.76523831,0.112090941,0.146478475,0.052145173,-1.644466165,0.283429058,0.054041496,1
7,0.054860102,0.889810798,-0.760389308,-0.01514622,0.438375484,1.361214663,-0.082535514,-0.060633724,0.073074576,-2.793999328,0.158098933,0.153340527,1
8,-0.076654444,1.742406276,-0.500151025,-0.099676375,0.741359223,1.36038835,0.351197411,0.258159673,0.018608045,-1.234572072,0.390998192,0.256251906,1
9,-6.55E-05,0.726233267,-0.101839424,-0.064081198,0.576292248,1.129197361,-0.081244808,-0.071949166,0.263142371,16.427981,0.023394062,0.161932935,1
10,-0.084460653,0.283231559,-0.061170069,-0.11158106,0.841257284,0.711098676,-0.526581253,-0.740517836,-0.002298126,15.17577424,0.014158802,0.075450125,1
11,0.178294809,1.682015113,-0.108293842,0.03193536,0.321326119,1.257620994,0.263743114,0.209715897,0.034080605,1.372942316,0.22591164,1.13596817,1
12,0.297777778,0.649962035,-6.805966899,0.032665505,0.195993031,8.25130662,-0.50195993,-0.060833993,0.036446469,-3.304064225,0.011902877,5.307083333,1
13,-3.614262561,2.101096224,-0.044923302,-0.435902118,0.112673484,1.82560263,0.495252009,0.271281384,0.383272432,0.856397775,0.280184055,1.220421394,1
14,-0.198383587,1.484526007,-0.54204827,-0.141914651,0.447763271,1.078167191,0.248420232,0.230409749,0.026115756,11.73868706,0.401022437,0.281471433,1
15,-4.214180207,4.824675325,-0.694480103,0.198759093,0.072421908,0.640885751,0.06300813,0.098314138,0.006493507,0.106353591,0.119679519,13.84065731,1
16,0.125599864,1.781918564,0.107326664,0.022184353,0.392383605,1.536126644,0.254381179,0.165599093,0.26510876,1.486027935,0.288300298,0.628537852,1
17,-0.350263347,1.110607962,0.116117534,-0.213841795,0.49237993,0.793595485,0.06948316,0.087554884,0.068816266,1.734605678,0.524422371,0.162866308,1
18,-0.500002565,0.302653332,-0.882195763,-0.56605602,0.926064475,1.404152683,-0.95875581,-0.682800255,0.033540235,-3.075051928,0.09133289,0.01670266,1
19,-0.080690367,0.163686232,-1.524340288,-0.799466514,0.645803563,0.210726874,-0.726207488,-3.446202532,0.009764125,9.301020408,0.078661844,0.173213158,1
20,0.10953916,1.311974522,0.237579541,0.003433786,0.402257174,0.82694201,0.058806579,0.071113305,0.045350319,1.155771496,0.124774958,0.801900519,1
21,0.280596325,1.398794807,0.279485565,0.018923698,0.130501503,1.76631363,0.251769266,0.142539389,0.046905794,1.875386407,0.120821744,2.726323241,1
22,-1.494454248,0.314918512,-2.209235277,-0.369103885,0.187494092,0.092990831,-0.193709235,-2.083100381,0.048725449,22.53295668,0.24523507,0.515792791,1
23,-0.766507558,0.83453622,-0.553722334,-0.449698189,0.50583501,0.700603622,-0.124547284,-0.177771396,0.012296178,3.043938161,0.322228604,2.784407319,1
24,-0.26630137,1.558715794,0.220689655,-0.175963489,0.185091278,3.910851927,0.262981744,0.067244107,0.143288085,0.889250814,0.106869635,0.784684384,1
25,0.061898252,1.007214104,-0.217212711,-0.250786478,0.788285391,0.584363141,0.002271081,0.003886421,0.150484007,-4.680275624,0.046389197,0.125003675,1
26,0.064737006,0.954483339,-0.233527485,-0.041499818,0.292409902,1.132963233,-0.039406625,-0.03478191,0.051193104,6.449491525,0.295606073,3.289915966,1
27,-1.037659795,0.766082778,-0.365479525,-0.500778089,0.386065537,1.461695789,-0.134187008,-0.091802281,0.07200434,3.795822301,0.135209126,0.358631809,1
28,-0.090078329,0.24929445,-1.268511862,-0.565061107,0.550682962,0.73759885,-1.434219986,-1.944444444,0.009971778,-2.098302408,0.019005848,0.772682768,1
29,-0.67525236,0.794422483,-0.384045924,-0.387888579,0.526726058,2.762116127,-0.224301264,-0.081206312,0.003694387,-11.97950749,0.156143708,0.348755323,1
30,-0.363620832,1.130889107,-0.199000853,-0.192954037,0.434270239,1.800356132,0.080698413,0.044823584,0.001002828,3.568749553,0.215017206,0.348465218,1
31,-0.473498937,2.210433763,-0.191602707,-0.351999596,0.380125227,1.04784387,0.260679661,0.248777197,0.109847597,0.530604628,0.094547382,0.969654955,1
32,0.166276072,1.236410699,-0.162685202,-0.021657216,0.156100238,0.767623925,0.040095116,0.05223276,0.118313201,0.838109012,0.20831149,0.266115245,1
33,0.014786418,0.634801289,-1.389976959,-0.129320276,0.525921659,3.484158986,-0.293778802,-0.084318426,0.085213033,-1.918269231,0.020087625,0.371947974,1
34,0.047153285,1.732515652,0.131245331,-0.027446698,0.393655537,2.188954658,0.361749325,0.165261223,0.034584681,1.448895633,0.166794434,0.433839416,1
35,0.030336338,2.366834171,0.278599644,-0.016342654,0.352335218,0.597552475,0.463480753,0.775631886,0.026267702,0.616359285,1.000259235,0.605874918,1
36,-2.276550439,0.237702504,-3.591537133,-3.577144502,1.081462291,0.470926885,-1.489925158,-3.163814181,0.005154639,-1.768689763,0.573349633,2.030343359,1
37,-0.024169579,0.616738211,-0.072890838,-0.103558454,0.41923493,2.018215343,-0.208224057,-0.103172368,0.24516109,12.0840824,0.006868702,0.924872977,1
38,-0.101482567,1.042914131,0.16599809,-0.250259645,1.403873412,4.109815158,0.013469457,0.003277387,0.014770112,-0.403113912,0.070412078,0.060141392,1
39,0.191834388,1.549505706,-0.153946951,-0.029318995,0.06721916,1.140429677,0.11129622,0.09759148,0.218176266,0.942206718,0.115674019,1.497599483,1
40,-3.398888889,1.372421921,-0.957032149,-0.662318729,0.138110949,1.758382567,0.242461444,0.137888903,0.072598704,2.407092199,0.270541519,9.140533333,1
41,-0.136223293,0.391545596,-0.423025594,-0.188391788,1.058384055,1.33503168,-0.783008631,-0.586509401,0.006222317,-4.187293277,0.244129394,0.021212157,1
42,0.024982493,2.707993455,-0.40696775,-0.012698062,0.812717033,1.458452841,0.412388262,0.282757351,0.028798876,-2.547745331,0.184534496,0.060605933,1
43,0.207241395,0.544698326,0.059662863,0.062386064,0.504107308,0.367407107,-0.097315059,-0.264869832,0.139623039,0.709949914,0.039509954,1.716148042,1
44,-0.311634489,0.901841056,-0.117062593,-0.208087902,0.480273804,0.522137355,-0.068936501,-0.132027521,0.011728381,2.522757659,0.577790863,0.109534991,1
45,-0.503648186,1.420855277,-0.503459966,-0.606509507,0.992074018,2.932261887,0.070549875,0.024059882,0.23502563,-0.425895244,0.046917051,0.116355928,1
46,-0.119182448,1.877052368,0.319938462,-0.080062962,0.270416376,2.427322973,0.289148303,0.119122303,0.88208607,0.909140904,0.072804951,1.330437538,1
