ID,bstatus,trans_cf_td,trans_ca_cl,trans_re_ta,trans_ni_ta,trans_td_ta,trans_s_ta,trans_wc_ta,trans_wc_s,trans_c_cl,trans_cl_e,trans_in_s,trans_mve_td
3,1,1.369132145,0.128745113,6.253291445,7.913276699,0.206239284,0.368480756,6.61128316,1.615412907,0.06752569,5.755897849,0.482942253,9.75E-06
5,1,1.369114338,0.102472492,6.18968169,7.919474776,0.160309903,0.375533962,6.592594743,1.615360441,0.043806644,5.756921436,0.486883944,5.79E-04
19,1,1.369146089,0.022053154,6.232966262,7.87528985,0.391473647,0.09213471,6.531068365,1.613954751,0.043661762,5.763349783,0.477248088,1.52E-05
21,1,1.36917108,0.161540913,6.27101414,7.935362298,0.11248354,0.426943967,6.633168336,1.615460399,0.052003795,5.753464072,0.479561195,2.39E-04
28,1,1.36914544,0.033307393,6.238376541,7.892542679,0.35171072,0.23623769,6.456144923,1.614585445,0.043708849,5.748166935,0.473953862,6.76E-05
30,1,1.369126518,0.134859645,6.260944016,7.91985351,0.297503241,0.432021826,6.615422392,1.615419472,0.041670392,5.755719932,0.484685153,3.05E-05
32,1,1.369163172,0.145565244,6.261708876,7.932394249,0.131500428,0.243170668,6.611203436,1.615422575,0.067605258,5.752081797,0.484322373,2.33E-05
34,1,1.369154932,0.192636238,6.267896037,7.931970722,0.27687798,0.486133049,6.644552029,1.615469915,0.049254191,5.752895771,0.482069528,3.80E-05
41,1,1.369142248,0.051386239,6.256223668,7.920187773,0.531191657,0.356875059,6.525089284,1.61515495,0.042857838,5.745380242,0.486256619,1.85E-06
44,1,1.369130114,0.110671761,6.262669621,7.918744596,0.319739928,0.182947252,6.599860972,1.615345389,0.044106971,5.75432659,0.503872843,9.58E-06
46,1,1.369143427,0.20544232,6.271864762,7.92812056,0.207530475,0.51627034,6.637039514,1.615450591,0.206671556,5.752176464,0.476925772,1.16E-04
48,1,1.369165062,0.094563294,6.267658975,7.935213585,0.256272348,0.143989458,6.599121394,1.615316987,0.042377117,5.752430243,0.484216413,9.41E-05
51,1,1.369135629,0.109930931,6.253571145,7.921789564,0.289143803,0.517300663,6.600336237,1.615389626,0.05233156,5.755117733,0.47932528,8.35E-05
53,1,1.369093843,0.172951123,6.248961751,7.891259877,0.313664883,0.311212103,6.632750705,1.615495961,0.11099283,5.75332197,0.492642908,4.15E-05
54,1,1.369150105,0.158369912,6.266448395,7.930273966,0.33690447,0.355401639,6.628488703,1.615465926,0.050055063,5.754779166,0.494080944,1.47E-05
75,1,1.369151984,0.109128371,6.26471828,7.931002504,0.363620586,0.244380448,6.603236751,1.615380912,0.046257969,5.753997412,0.481384378,0
76,1,1.369163966,0.139899566,6.26731443,7.939680386,0.379096615,0.37368654,6.615890436,1.615425615,0.048546247,5.755866868,0.488254562,3.24E-05
85,1,1.369150769,0.200713697,6.267892313,7.927162066,0.269507418,0.341259362,6.629846569,1.615474432,0.048146846,5.752034445,0.480908903,5.03E-05
92,1,1.369097267,0.065137652,6.221938189,7.862597043,0.413878495,0.211945481,6.549775798,1.615039581,0.053891168,5.736877579,0.487522215,1.01E-04
103,1,1.36921136,0.159855592,6.268247455,7.936930506,0.075330145,0.443639128,6.619793876,1.615428059,0.058640382,5.752238058,0.473395472,3.58E-04
105,1,1.347397442,0.156161918,6.09748083,7.833077796,0.004290752,0.057875627,6.629588665,1.616233445,0.057738005,5.753275459,0.57999886,0.182817909
109,1,1.369100314,0.073974917,6.249280681,7.905573664,0.324545615,0.308318779,6.569047975,1.615258695,0.04167648,5.748553047,0.488375612,5.21E-07
119,1,1.36915768,0.209350185,6.266862096,7.931458574,0.171722998,0.437193558,6.644889763,1.615483991,0.05706865,5.75251932,0.48338966,3.48E-04
123,1,1.369157044,0.09809127,6.261797072,7.922155416,0.342448969,0.265983402,6.582585322,1.615287692,0.04400462,5.738037995,0.494295016,3.68E-05
126,1,1.3691365,0.065483505,6.262268335,7.919625829,0.35220598,0.454483612,6.586801428,1.615359093,0.063354659,5.738472558,0.474978622,7.17E-05
129,1,1.369157873,0.074462806,6.257175011,7.926297411,0.345670273,0.543197893,6.589483441,1.615374104,0.065227154,5.759503548,0.473676422,6.58E-05
136,1,1.369127548,0.13857356,6.267516804,7.926677248,0.142459136,0.608562956,6.61762754,1.615413756,0.042622188,5.753316219,0.483592095,1.32E-04
137,1,1.369097838,0.082112042,6.256725789,7.88415107,0.376031925,0.484779221,6.559634444,1.615313377,0.065721419,5.745057626,0.481469549,6.11E-05
149,1,1.36911865,0.049243615,6.264055086,7.927341089,0.094438316,0.198156984,6.584606993,1.615245454,0.043565045,5.751670633,0.474119441,7.20E-04
156,1,1.369150945,0.181012297,6.261925071,7.927105142,0.345388232,0.087367119,6.623151775,1.615731971,0.09468632,5.752685319,0.523734148,2.67E-05
160,1,1.369158511,0.033349033,6.120404054,7.953019276,0.771345285,0.340930903,6.397762904,1.614734593,0.049560578,5.749606964,0.486515685,1.86E-06
164,1,1.365682735,0.038732568,6.055874754,7.447744529,0.108887921,0.193810794,6.500646335,1.614646371,0.052967902,5.750556585,0.493079068,0.005367361
165,1,1.369139009,0.130477645,6.253681217,7.924643402,0.397153292,0.308723757,6.610138449,1.615412311,0.042715632,5.756247174,0.485231357,1.11E-05
166,1,1.369082719,0.015894056,6.224356227,7.82062791,0.44131351,0.474754825,6.42599547,1.615058631,0.041573828,5.748969704,0.477549087,3.50E-05
167,1,1.369138807,0.033852077,6.258354087,7.911984693,0.474595479,0.469601991,6.572954245,1.615334396,0.064674196,5.748615425,0.473739517,1.13E-04
170,1,1.36852425,0.185652688,6.260577601,7.881715535,0.068821776,0.288240934,6.626638138,1.61548179,0.043624736,5.749018285,0.480276307,8.64E-04
176,1,1.369104834,0.061723193,6.180217793,7.862390373,0.507216101,0.5939803,6.517913268,1.615286561,0.047992795,5.750005678,0.477534882,4.94E-06
178,1,1.369151444,0.096570285,6.264352967,7.931154725,0.412149803,0.364159641,6.597796043,1.615373687,0.045655087,5.712537035,0.475110356,4.22E-06
185,1,1.369117481,0.18311365,6.262980976,7.915789248,0.296902591,0.507611671,6.640099872,1.61545733,0.047480678,5.752339209,0.485186763,7.42E-05
190,1,1.369166918,0.240956063,6.269197879,7.93161688,0.257311097,0.227492001,6.635897052,1.615566993,0.042963669,5.751681743,0.489585535,9.03E-05
193,1,1.369157821,0.08791447,6.271274167,7.930370035,0.228933645,0.69098228,6.596722483,1.615390787,0.060448053,5.752074184,0.474829893,2.92E-05
198,1,1.369134037,0.088643963,6.261168775,7.921226309,0.284621988,0.140383324,6.584051677,1.615149572,0.042905876,5.737664784,0.474827277,1.43E-05
200,1,1.36907166,0.04605317,6.190946284,7.88040807,0.433083169,0.306115377,6.514976951,1.615054305,0.041913205,5.747990266,0.482475261,3.06E-04
211,1,1.369195981,0.025982909,6.226430454,7.979607642,0.542467092,0.298486033,6.512369758,1.615031298,0.042873483,5.748492187,0.474034534,6.36E-06
217,1,1.369151806,0.159840701,6.261319866,7.931106943,0.355152869,0.279396324,6.617081722,1.615444118,0.076070992,5.753446824,0.483331227,4.32E-06
226,1,1.369141201,0.122460327,6.263455227,7.921802834,0.407287679,0.521573859,6.607734801,1.615401838,0.050606075,5.801459381,0.481352095,1.09E-05
227,1,1.369116772,0.187713322,6.261088975,7.915472178,0.40030659,0.354825724,6.642026084,1.615507451,0.047039199,5.95871769,0.493835833,4.10E-05
230,1,1.369008402,0.072051908,6.210566576,7.804800922,0.45553495,0.499318713,6.531220701,1.615268176,0.055659585,5.747956789,0.482230653,1.37E-04
231,1,1.36898972,0.06903413,6.257758355,7.893454424,0.162178218,0.787235337,6.569228473,1.615373127,0.045628483,5.725492189,0.475714746,1.42E-04
236,1,1.369103996,0.067894075,6.214140814,7.863336069,0.592198288,0.373825337,6.525514908,1.615172949,0.042254243,5.748668767,0.486895226,2.25E-05
238,1,1.369180957,0.248791345,6.26973634,7.937140891,0.224784239,0.514318091,6.647935145,1.615469214,0.053640833,5.75189981,0.479801947,1.94E-04
239,1,1.368872445,0.101038036,6.251159713,7.891332933,0.116709034,0.761015633,6.586330855,1.615384431,0.05236457,5.740167407,0.479966573,7.17E-04
243,1,1.369150172,0.026034007,6.261475715,7.928902022,0.454283453,0.163041468,6.551838394,1.6149065,0.049670446,7.116669151,0.474585345,2.86E-06
245,1,1.369154961,0.246649943,6.263493302,7.932752283,0.347494487,0.348350589,6.627545995,1.615464971,0.044539843,5.751596684,0.477145187,4.92E-05
248,1,1.369093211,0.14904137,6.259622792,7.913959499,0.204270647,0.670501612,6.624415085,1.615418471,0.047066826,5.753259669,0.482428167,1.25E-04
251,1,1.369155871,0.038400259,6.266306322,7.932268513,0.365404397,0.203722998,6.59732214,1.61533587,0.055224384,5.751658143,0.473382657,1.65E-05
260,1,1.369150235,0.05901785,6.244103474,7.932147837,0.402613954,0.530459473,6.54279339,1.615299533,0.045463619,5.739376817,0.474209105,2.31E-05
