ID,bstatus,trans_cf_td,trans_ca_cl,trans_re_ta,trans_ni_ta,trans_td_ta,trans_s_ta,trans_wc_ta,trans_wc_s,trans_c_cl,trans_cl_e,trans_in_s,trans_mve_td
6,1,1.369139133,0.144138998,6.255361572,7.909393657,0.393035736,0.242623844,6.618682443,1.615462049,0.05316777,5.74877217,0.488369022,4.73E-06
11,1,1.369164004,0.188071317,6.262854261,7.936313723,0.237531173,0.343007965,6.634408659,1.615488533,0.049141329,5.752794557,0.485273897,9.94E-05
13,1,1.368901595,0.224575283,6.264188467,7.90203301,0.098729636,0.435749678,6.658344325,1.615514315,0.121041012,5.752106171,0.488194988,1.07E-04
18,1,1.369117083,0.040177332,6.246537503,7.892469531,0.491078941,0.368893726,6.506554739,1.615114592,0.049020308,5.746864129,0.477944582,1.46E-06
22,1,1.369048285,0.041741227,6.218458879,7.906936735,0.153739908,0.052163088,6.586857008,1.614527252,0.052408401,5.780923495,0.486316191,4.51E-05
25,1,1.369155952,0.121966887,6.260560414,7.915615078,0.444956855,0.199020595,6.60727084,1.615402324,0.074455047,5.744722411,0.475469084,1.09E-05
26,1,1.369156149,0.116351301,6.26021675,7.930942577,0.220746092,0.31970257,6.602934863,1.615386127,0.052956492,5.759555563,0.489021472,2.88E-04
31,1,1.369118917,0.233615094,6.26109984,7.908191889,0.269783512,0.30303871,6.63409135,1.615504891,0.065784666,5.751671953,0.478121096,8.48E-05
33,1,1.369152694,0.080658191,6.235808373,7.924514492,0.340733626,0.62928843,6.576409057,1.615365376,0.060442981,5.748407035,0.474013821,3.25E-05
43,1,1.369166006,0.070044412,6.266389808,7.938539862,0.33082759,0.140193524,6.596905576,1.615289734,0.072154595,5.751910989,0.475088927,1.50E-04
45,1,1.369116831,0.163666622,6.254527994,7.889494718,0.511552733,0.573941463,6.614368142,1.615410774,0.091956945,5.750396937,0.47549824,1.02E-05
52,1,1.369077562,0.071237542,6.254000053,7.890982361,0.324654356,0.456384704,6.550064339,1.615284674,0.046387762,5.743698415,0.485195014,1.84E-04
56,1,1.369154541,0.0975524,6.259427256,7.916287975,0.437740508,0.525822205,6.597651887,1.61538563,0.049851292,5.746660686,0.473454095,1.60E-05
58,1,1.369128788,0.068654591,6.265143521,7.912954002,0.408984295,0.361216994,6.567395334,1.615283627,0.054982088,5.760030782,0.478550129,1.05E-05
67,1,1.36914627,0.164020883,6.257790626,7.909151575,0.423823736,0.519012641,6.627864916,1.615434993,0.054599043,1,0.485701973,1.06E-05
68,1,1.369186924,0.114815929,6.253946032,7.940933872,0.227514911,0.415415806,6.603379691,1.615391991,0.056280952,5.749075572,0.478864715,2.10E-05
70,1,1.369141523,0.160365185,6.258015989,7.908026701,0.456052271,0.118523753,6.609244524,1.615430911,0.056989203,5.75036394,0.477996272,8.45E-06
71,1,1.369134474,0.060097921,6.252330491,7.898892668,0.47515459,0.364550847,6.583403966,1.615331797,0.043102861,5.748758123,0.473369464,2.24E-05
74,1,1.369153171,0.147338123,6.263863471,7.931970479,0.289156394,0.199528605,6.611424636,1.615430858,0.055551335,5.752466509,0.480307421,3.33E-06
79,1,1.367387896,0.111054733,6.240658951,7.848428425,0.041375555,0.232095907,6.600779377,1.615365716,0.096705534,5.75352283,0.477563331,7.10E-04
86,1,1.369160303,0.277418356,6.262836851,7.933173304,0.186288486,0.329450533,6.653676043,1.615559842,0.052830338,5.751583096,0.494002646,1.70E-04
87,1,1.369195727,0.252846306,6.269868458,7.934113266,0.19245216,0.433468138,6.651521668,1.6155,0.055287033,5.75182818,0.474269838,3.13E-04
90,1,1.369175974,0.209742156,6.088424382,7.932886007,0.022076975,0.261649178,6.653405786,1.615621119,0.043493124,5.753997387,0.521128412,0.002074265
93,1,1.369120407,0.046035516,6.250077783,7.896093647,0.538893533,0.273927418,6.535926606,1.615086448,0.059793945,5.747479174,0.483078352,2.79E-06
94,1,1.369146588,0.016983702,6.260179071,7.921783749,0.438995255,0.30725722,6.527743195,1.615103679,0.049566161,5.784391396,0.474085941,1.79E-05
95,1,1.368727247,0.134056475,6.223091292,7.836809358,0.161031761,0.219530393,6.613471471,1.61543957,0.048399185,5.752314161,0.478916506,0.004991017
96,1,1.369076133,0.109018972,6.265834334,7.908455129,0.203901448,0.66960348,6.600070706,1.615393568,0.065172799,5.756313045,0.477675104,2.79E-05
101,1,1.369152298,0.046542633,6.261537952,7.926879799,0.289316307,0.425923419,6.579005948,1.615336671,0.057353474,5.752693148,0.475436394,3.99E-05
102,1,1.369160929,0.216628761,6.270912267,7.93275848,0.208605446,0.52874851,6.634171047,1.615443964,0.06485839,5.751797137,0.482416043,5.68E-05
111,1,1.369149584,0.115352868,6.266047991,7.930855881,0.331239459,0.352802436,6.603321302,1.615389301,0.044701629,5.755179525,0.482561745,1.35E-05
113,1,1.369146441,0.09798317,6.25288424,7.928308723,0.326208277,0.375118124,6.596452695,1.615371137,0.045729205,5.753401362,0.482128031,4.20E-05
115,1,1.369121555,0.175218865,6.267329752,7.91668004,0.312899365,0.118521039,6.61676759,1.615533832,0.097308727,5.751738679,0.480513831,4.75E-05
116,1,1.369143723,0.013651654,6.250798007,7.904873058,0.527553654,0.106855662,6.50632566,1.61383101,0.044566997,5.74231228,0.4770839,3.52E-06
117,1,1.369109717,0.013364084,6.266014819,7.918926239,0.179468924,0.09274009,6.579645115,1.614882586,0.044336162,5.75170393,0.474514997,1.33E-04
120,1,1.369169987,0.202755169,6.271295214,7.935898095,0.18454683,0.283339171,6.619112979,1.615451873,0.044947358,5.751430793,0.478232791,5.70E-05
121,1,1.369151223,0.068700203,6.255896307,7.932173617,0.461774681,0.473800838,6.557421899,1.615305717,0.055723872,5.737928372,0.480798632,6.36E-06
124,1,1.369154326,0.151757426,6.271072871,7.93237103,0.242373073,0.503194819,6.619596865,1.615422507,0.063904125,5.752490994,0.483021565,2.51E-05
134,1,1.368647791,0.159031535,6.249764401,7.883304323,0.075032788,0.637286555,6.615958718,1.615410771,0.147903403,5.750255223,0.47527063,1.05E-05
135,1,1.369161836,0.104556894,6.263479955,7.937109403,0.360568651,0.240438187,6.594420819,1.615333533,0.041722622,5.75666038,0.483459288,1.67E-04
140,1,1.369132816,0.122621768,6.269240627,7.920729136,0.36095316,0.170983054,6.607986925,1.615408732,0.046966537,5.754201483,0.542676079,1.45E-05
141,1,1.369154822,0.200664397,6.269673263,7.932655189,0.341170699,0.550178298,6.641359976,1.615451724,0.07093118,5.75388921,0.474622735,2.54E-05
144,1,1.369079353,0.117690369,6.257365201,7.904261361,0.26705461,0.307452197,6.604043225,1.61538944,0.049791857,5.759979027,0.502093688,3.73E-04
147,1,1.369070105,0.06708917,6.216620317,7.921667495,0.10512979,0.416328547,6.578499247,1.615333091,0.063435852,5.75354063,0.476240718,2.55E-04
150,1,1.369149943,0.091455928,6.263514922,7.925060875,0.373788832,0.467003703,6.58681263,1.615360949,0.066551853,5.797332791,0.479240339,1.20E-05
151,1,1.369154741,0.092358361,6.2622783,7.923671489,0.507757363,0.25068198,6.5989349,1.615359978,0.067537758,5.746585057,0.473836462,2.76E-05
152,1,1.369097765,0.039160883,6.211065764,7.772807295,0.544209214,0.357238576,6.433605994,1.614884861,0.043456654,5.748666428,0.489719506,3.66E-05
154,1,1.369166866,0.090011453,6.26002383,7.937018644,0.246066481,0.245389062,6.593760367,1.615331984,0.046879346,5.746550874,0.477998453,4.24E-05
155,1,1.36915002,0.056782895,6.268498188,7.931874149,0.312953064,0.159775129,6.571202569,1.61507077,0.062391801,5.753294258,0.480990939,3.34E-05
157,1,1.369074381,0.054588934,6.221073471,7.796778769,0.657458995,0.44866213,6.473280366,1.615122117,0.041960657,5.74850618,0.489737549,8.26E-05
158,1,1.369111023,0.177993466,6.264313672,7.905121777,0.318501751,0.578214308,6.623808753,1.615423453,0.106609743,5.752731708,0.478259138,2.75E-05
